"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","source"
"GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_UP",0.000888157120469257,0.00985608727400879,0.477270815362862,-0.335690750840434,-1.52698908275477,180,"BDH1;SQLE;PKIA;MCCC1;POLB;PDXDC1;EEF1E1;CXADR;ABHD10;NANS;DKC1;BRCC3;WRNIP1;GLOD4;GALNT11;CENPS;ADGRG1;TFDP1;DNAAF2;RNF44;NME1;RRS1;GSR;ITGAE;URI1;ZFAND1;MOAP1;FASTKD1;SNRPD1;INTS8;DHX32;FAIM;POLR3K;BSDC1;MAEA;PIK3CB;RAD51C;SNX4;CLNS1A;DOLK;MAGEF1;CROT;WDR12;CCT3;TJP2;SMUG1;TDP1;FAM98A;SEC24C;DLG3","C7_IMMUNO"
"GSE15750_WT_VS_TRAF6KO_DAY6_EFF_CD8_TCELL_UP",0.00090079045519098,0.00997120805708477,0.477270815362862,-0.343347994987862,-1.55043894310421,166,"LYPD6B;PTPN3;SFXN2;C1orf53;RGS17;ERBB3;FANCF;PAK6;DHTKD1;CDYL2;NEFH;BSPRY;CSGALNACT1;FAM241B;LPP-AS2;METTL3;TOR1B;SPAG16;ARHGAP39;PTPMT1;SLC15A2;ATAT1;METAP1;EIPR1;TTC12;DAP3;THADA;TMEM120B;CRADD;ANAPC7;ABHD12;CMBL;RIOX2;BYSL;STYXL1;EID2;NHEJ1;MFN1;ATMIN;TMEM267;PRMT6;BTD;P4HTM;NUP50;SLC6A14;AGL;SPOUT1;COPS7A;TARBP2;ELP1","C7_IMMUNO"
"GSE25502_WT_VS_KLF13_KO_THYMIC_MEMORY_LIKE_CD8_TCELL_UP",0.000906484571021721,0.0100258556689696,0.477270815362862,-0.349868175463422,-1.56628397887742,152,"GALNT12;ENPP5;ATP8A1;C15orf48;MTHFS;CRYBG1;NECTIN3;PTPRN2;ZNF680;LINC00665;PIGF;UPRT;NUDT19;SLC31A1;DHRS13;PSPH;BNIP3;C17orf100;SYTL1;PTGR2;SPINT2;MINPP1;CXorf38;RPIA;CFAP43;SMIM14;TNFRSF10A;TIFA;SLC30A9;AAGAB;UHMK1;MALT1;PDCD6;RAB18;RALB;CCT6B;ADSL;PIKFYVE;PCNX2;CDH7;CD47;POLR3G;MED11;ZNRF2;ABI1;TNFSF10;PPM1A;ELP1;SYNRG;MTOR","C7_IMMUNO"
"GSE22432_PDC_VS_TGFB1_TREATEDCOMMON_DC_PROGENITOR_UP",0.000925276033706672,0.0101826512138343,0.477270815362862,-0.339525369101173,-1.54694916061398,184,"PEX7;SLC7A1;JPT2;DDX31;MTX2;NUP35;ARV1;LIG3;ABHD11;LIPT1;PEX10;TXNDC17;FASTKD2;PPA2;PAICS;IPPK;PCCB;NSUN2;FOCAD;TFDP1;CHCHD1;SLC16A1;ALAS1;MRPL19;KYAT3;SAR1B;GLMN;TMEM69;RGS10;VCPKMT;C6orf136;MRPL44;MED8;LSM6;CYB561D2;PHF5A;CMTR2;PCNA;RCE1;PGAM5;PHGDH;ETFA;MED17;CAPRIN1;LRRC59;NUP205;MAP2K4;ADM;EWSR1;WDR83","C7_IMMUNO"
"GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_12H_UP",0.000956685241801535,0.0104934183232896,0.477270815362862,0.312330493219521,1.7365025482074,79,"CKM;COL4A1;P2RX1;ITGA11;COL5A1;RIMS4;NES;HTRA3;TACR2;RBM24;SYNDIG1;SOD3;TCF7L1;SPHK1;FOLR2;TTYH1;PCDH17;LHFPL2;PRIMA1;ENPEP;CYP46A1;PGF;EFNB1;SYDE2;SRF","C7_IMMUNO"
"GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN",0.000958969931202113,0.0105097706284642,0.477270815362862,0.228163985675623,1.45713631872086,183,"NCAM1;ITGA5;CPED1;MITF;SPARC;ALDH1A1;RNASE1;STAB1;SERPING1;TIMP2;MRAS;MYADM;LRP1;TGFBI;CCDC88A;ACTN1;ZYX;PDGFC;CPVL;TBL1X;LRRK2;MSN;VSIR;ID3;MNDA;RASGRP2;CYBRD1;FGL2;ME1;PDK4;RGS2;AHNAK;YPEL4;TNFRSF1A;GPNMB;GCNT4;ADGRE5;PIP4P2;ARHGAP21;RNASE6;SIGLEC1;WIPF1;TLR4;ATP10D","C7_IMMUNO"
"GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP",0.000987973997181517,0.010765257406326,0.45505986738723,-0.334347998457507,-1.53154100992966,194,"SIDT1;NUP210;TTC19;AIFM1;NELFCD;SATB1;HDAC1;CCR7;FAM117A;IARS2;GLOD4;EIF2AK1;SLC25A38;XPOT;GLO1;SRSF6;MOAP1;GRSF1;TGIF1;MALT1;ECHS1;MRPS35;SNRPF;HMGN3;BUB3;CCT8;EIF2B1;GRPEL1;TBL1XR1;LGALS8;ERCC5;DUSP12;ERCC3;ARHGEF3;STRAP;POLR1D;NDUFV2;GTF3A;LRRC8D;CCT2;GTPBP4;LRPPRC;SRSF7;PDHA1;RNF113A;RTRAF;NDUFAB1;SUMO3;PDIA3;DNAJC9","C7_IMMUNO"
"GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_UP",0.000997425286743809,0.0108503807487274,0.45505986738723,0.231183801091089,1.48679850904608,188,"CCDC80;PCOLCE2;FHL1;MFAP5;COL14A1;FBLN5;THY1;CDH2;CAV1;DMD;TNXB;HS3ST3A1;VCL;SSPN;ATP1B2;SYNE1;LAMA2;TIMP2;MARVELD1;VAMP5;GSN;EFHD1;TCF21;TGFBI;LDB2;CAMK1D;VSIR;AK1;TLCD2;PTPRB;PKD1;NPR2;ZMAT3;PLCL2;PLD4;RASGRP2;ADGRL1;CLEC14A;PTGS1;FKBP9;HIP1;ALOX5AP;FXYD5;ASPH;FCGRT;PLP2","C7_IMMUNO"
"GSE24671_BAKIMULC_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_DN",0.00101019958957524,0.0109713144925239,0.45505986738723,-0.337991394261568,-1.53730137177115,179,"CENPN;GPT2;DARS2;ARV1;CCNC;OXCT1;FASTKD2;UBXN8;PUS3;FOCAD;WDR3;TWNK;KYAT3;MAP4K1;GLMN;TRIM14;ARFIP2;PIN4;SRP19;CSTF1;PUS10;L2HGDH;RAB29;BCL2L13;PLAGL2;BZW2;GCA;PC;COX18;MRPS9;COX19;LETM1;CSE1L;ACTR6;MRPL32;COX17;DSN1;RBBP9;PDK3;ZC3H8;SRP54;AKR1A1;SCOC;NOB1;SOCS2;ALG5;LSM1;ACY1;TYSND1;GALE","C7_IMMUNO"
"GSE30153_LUPUS_VS_HEALTHY_DONOR_BCELL_DN",0.00101209451841156,0.010982884696107,0.45505986738723,0.251346013762463,1.53408694218274,143,"SYT11;PTGIS;HSPB2;PLCE1;FABP3;SFRP4;POSTN;SLC8A1;FERMT2;GFPT2;HGF;ATP2B4;LTBP1;LMO3;STAB1;MEF2C;SOCS3;RRAS;FZD7;ADAMTSL2","C7_IMMUNO"
