"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_NUCLEAR_EXPORT",0.0313822648910912,0.104285419895299,0.0815460312657354,-0.299143693827595,-1.34696321215361,159,"STRADB;NUP93;PRKD1;THOC3;NSUN2;XPOT;FRAT2;POM121;XPO6;NXF1;UHMK1;MALT1;FRAT1;NOL6;CPSF6;SMG7;RAE1;RITA1;POM121C;NCBP2;MAGOHB;SIRT7;CSE1L;RANBP1;MCM3AP;CHTOP;GLE1;NUP188;GSK3B;PPM1A;CHP1;FAM76B;NUP98;NUP88;PCID2;DESI1;CCHCR1;NUP155;HDAC3;THOC1;NUP107;EIF4E;DHX9;NUP153;NUP85;XPO5;HSPA9;CETN3;NCBP1;LTV1"
"GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID",0.0313879937940088,0.104285419895299,0.0878685871563087,-0.437579859007038,-1.5122254348638,30,"OR51E2;HMGCS2;FFAR2;ZC3H12A;PRKCD;DGAT2;CCNB1"
"GOBP_ORGANIC_ACID_TRANSPORT",0.0314624987313509,0.104484964795161,0.080726747877111,-0.281083073578984,-1.30496184896927,225,"SLC27A2;ABCC11;SLC3A1;SLC13A3;SLC23A1;ABAT;PLA2G4F;SFXN2;SLC25A22;CPT1B;SLC22A4;SLC17A5;SLC7A11;SLC36A1;VPS54;SLC7A2;LRRC8B;FABP5;SLC7A1;LRRC8E;SLC19A1;ACSL1;SLC25A17;SLC7A8;MPC2;ARV1;LLGL2;ATP8B1;SLC25A18;LYPLA1;ABCC4;TNFRSF11A;EMB;SLC25A10;CLTRN;CPT2;ABCC5;PLA2G12A;PLA2G2A;SLC25A38;SLC46A1;SLC16A1;CEACAM1;SLC23A2;KCNK1;SLC38A11;PPARG;SLC16A11;GOT2;CROT"
"GOBP_PIGMENTATION",0.031642872363094,0.10502016098949,0.082532787767263,-0.327132536233403,-1.39927923477304,101,"OR51E2;CITED1;IHH;GABRB3;BBS4;RAB17;MLPH;SHROOM2;VANGL1;BLOC1S2;AP1S3;ATP7A;RAB27A;AP3M1;MAP2K1;EDA;SHROOM3;AP1S1;HPS3;MYSM1;RAB29;GPR143;AP1G1;PIKFYVE;ANKRD27;RAB11A;ARCN1;ATRN;MREG;BCL2L11;ABCB6;FIG4;HPS4;BLOC1S4;AP1B1;MKKS;BLOC1S6;VPS33B"
"GOBP_PSEUDOURIDINE_SYNTHESIS",0.0316526961090955,0.10502016098949,0.0896376494762061,-0.5030324341252,-1.53572092561221,18,"PUS1;RPUSD4;PUS3;DKC1;NOP10;PUS10;PUS7;GAR1;TRUB1;TRUB2"
"GOBP_COPII_COATED_VESICLE_BUDDING",0.0317168467019076,0.105180710268731,0.0857131468775338,-0.396958416297063,-1.47920429928296,43,"SEC23B;KLHL12;SEC16A;MAPK15;TRAPPC4;SAR1B;MIA3;PDCD6;TRAPPC11;SEC24C;TRAPPC2B;TRAPPC2;TRAPPC6A;TFG;CUL3;SEC24A;SEC13;PPP6C;TRAPPC3;SEC31B;TRAPPC8;TMED10;SURF4;CSNK1D;VAPB;TMED2;INSIG1;PREB;TRAPPC12"
"GOBP_QUINONE_BIOSYNTHETIC_PROCESS",0.0317301686445971,0.105180710268731,0.0894560863550852,-0.494890178082062,-1.52792541324149,19,"PDSS2;COQ2;COQ5;COQ3;PDSS1;COQ7;UBIAD1;COQ6;COQ4;STARD7;COQ8A"
"GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT",0.0317943503650561,0.105345183779409,0.321775918075361,0.176284235368399,1.20283411208576,344,"NTRK2;MAP1B;PDE3A;SLIT2;FN1;L1CAM;GAS6;RNF112;SOX10;ZEB2;GLI2;SERPINE2;LIF;EFNA5;SERPINF1;LGALS1;BMP4;AXL;IL34;CLDN5;TGFBR2;MMP14;NUMBL;ZNF365;CORO1C;TGFB1;IL1B;TGM2;KIT;TRPV2;PLXND1;PTN;CXCL12;SMARCD3;PRKCA;S1PR2;HOXA11;TNFRSF12A;RND2;VSIR;GPR68;RARA;EGR2;CDH5;CSF1;SOCS1;KLF10;CX3CL1;EPHB2;NGF"
"GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY",0.0320152908851989,0.106028662533262,0.0870211644808265,-0.445105764786958,-1.51487644894599,28,"CAMSAP3;SYNE4;SIPA1L3;CYTH1;TTC8;GOLPH3;FRMD4B;OPHN1;ARF6;IFT20"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_11",0.0320410124959949,0.106065283013058,0.0821057009024537,-0.330314671633301,-1.40054517036185,93,"PEX11A;SEC23B;HOMER2;GNL3;PUS1;TNFRSF21;ACTL6A;SLC35B1;RRS1;AMD1;LGALSL;TUBB2A;TMEM9B;FARSB;METTL1;AK6;KRAS;BYSL;SELENOS;GMPPB;CRELD2;CSE1L;UTP4;XPNPEP1;TFRC;SRRT;TIMM8A;PNO1;LRRC59;STRAP;NIFK;GSPT1;PSME3;USP39;TSR1;PPAN;PDIA6;MANF;NCBP1;LTV1;EPB41;CYCS;MRTO4;DNAJB11;DUS1L;SRSF2;NOP56;HSPA5;DDX51;BECN1"
"GOBP_RESPONSE_TO_PROSTAGLANDIN",0.0320680628272251,0.10608853178181,0.206652311234449,0.328982790453425,1.49326332251666,33,"CCL21;SFRP1;PTGER1;TGFBR3;PTGER2;IGFBP7;GNG2;AKR1C2"
"ATF2_S_UP.V1_UP",0.0320794148380355,0.10608853178181,0.0811334140842608,-0.308431135226716,-1.36376688947226,133,"SLC9A2;NIPAL3;SLC13A3;ADRB2;GRHL2;ANXA3;PPM1H;CRYBG1;C1orf115;FANCF;DBNDD1;PCSK1N;CD24;PRKCD;VPREB3;CENPU;FOXJ1;ODAM;OVOL1;RELN;CHCHD7;MON1B;SPDEF;SCIN;ITGA6;IL17RB;UNG;SLC25A51;IL20RA;DECR2;EFNB2;RDH16;SATB2;USP9Y;CTNNBIP1;CEP41"
"TBK1.DF_UP",0.0320920375416288,0.10608853178181,0.079670326613859,-0.274403802086258,-1.28820038649838,264,"RLN2;GALNT12;TRIM36;STEAP1;SMCO4;EPB41L4B;SLC37A1;PASK;PTK6;IGSF3;CHGB;SPOCK1;P2RX5;ZC3H12A;SLC39A6;SLC35A2;ATP11B;LIPT1;EFNA1;NETO2;IL1R1;LRP12;MINPP1;NFYA;SLC2A10;TUFT1;C3orf52;TGFA;CASP7;TMEM41B;ADAM8;ZDHHC6;ATPAF2;ADGRG1;CNNM4;MMP9;TUBB2A;ANPEP;IFT57;MRPL58;ACYP1;LPXN;SNX10;PLPP2;NT5C2;AVL9;SNAP23;TIMP4;NUDT4;UBA3"
"EPPERT_PROGENITOR",0.0321533305404273,0.106242594700279,0.0811334140842608,-0.311871034421019,-1.3716115247814,126,"SLC27A2;MIPEP;ACSM3;P2RY1;SCD;BAMBI;SORD;DDAH1;CENPU;DNAJC6;LANCL2;MINPP1;TRIT1;TMEM97;PAICS;EIF2AK1;ZWINT;NDC1;ASRGL1;ODC1;TRIP13;CDK7;FECH;RMDN1;UMPS;ANKRD27;HS2ST1;GINS2;FAM171A1;PHF6;IDE;TFRC;SART3;DCAF7;NOMO1;NET1;LRPPRC;MRPL35;RFC3;CCNB2;HIRA;PCLAF;NCBP1;TM9SF3;RRM1;ADGRA3;FANCI;ARMC8;TMOD3;MTREX"
