"condition","signature","n_in","n_sig","n_up","n_down","fisher_p","OR","mean_FC","NES","fgsea_padj","up_genes","dn_genes"
"NEADT","ASPC",125,76,74,2,4.75782231766162e-17,4.63330824502791,0.581085614621054,5.00009809549697,7.233e-48,"SSC5D;COL4A1;COL3A1;PRKG1;BNC2;COL5A1;ABCC9;FST;MEDAG;NTRK2;SULF1;C1QTNF2;TENM3;PLCE1;FXYD1;KCNE4;GJC1;ARHGEF25;NFASC;POSTN;NFATC4;FGFR1;FGF2;ZFHX4;ITGBL1;THBS2;DPYSL3;COL5A2;LOXL2;COL5A3;PLS3;FEZ1;GAS6;ISL1;SERPINH1;NR2F1;ADAMTS2;NNMT;CYGB;PCSK5;CLU;TBX2;FAP;MFAP2;ALDH1A1;SRPX2;CERCAM;PDGFRA;BMP1;CTHRC1;GPC6;MEG3;HEYL;CHRD;S1PR3;NAV3;TSPAN11;TNFAIP6;ZFPM2;LAMA2;PIEZO2;DCLK1;NUMBL;FOXC2;RBP1;ADAMTS15;FOXS1;SPHK1;PDGFRL;FZD2;C3;DNM1;NOTCH3;VCAN","ENTPD2;KIF21A"
"NEADT","Hallmark_AR",98,32,2,30,0.0639280397566007,1.42949558527843,-0.345473075887412,-1.63564165560353,0.00869119819807693,"AKAP12;ACTN1","PGM3;MAP7;HOMER2;BMPR1B;HMGCR;SMS;NKX3-1;SCD;ELK4;ELOVL5;TPD52;RAB4A;SRP19;TMPRSS2;GSR;SORD;IDI1;LMAN1;NGLY1;DBI;SPDEF;CAMKK2;ANKH;PLPP1;HMGCS1;STEAP4;DHCR24;ABCC4;STK39;UAP1"
"NEADT","NEPC_UP",13,6,6,0,0.085249632305858,2.52320172664012,0.516362215800875,2.78277091310832,1.06822964314047e-05,"SYT11;CAND2;GNAO1;TRIM9;ASXL3;ETV5",""
"NEADT","NEPC_DOWN",37,21,1,20,4.75895336033766e-05,3.87571914225941,-0.467676889063665,-1.99027322213017,0.000526025771724434,"MMP2","EPN3;TC2N;RAB27B;HOXB13;SLC44A4;SLC25A37;EVPL;NKX3-1;ARHGAP8;GATA2;EFNA4;RGS10;RIPK2;NUP93;KLK4;SPDEF;LMAN1L;MAPKAPK3;OPHN1;FHIT"
